Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Health-related quality of life measured using the EQ-5D‚Ä?L: South Australian population norms,Health and Quality of Life Outcomes,,14,1,10.1186/s12955-016-0537-0,Nikki McCaffreyBillingsley KaambwaDavid C. CurrowJulie Ratcliffe,2016,http://link.springer.com/article/10.1186/s12955-016-0537-0,Article
Evaluating client application status for V-World Open API service,Spatial Information Research,,24,4,10.1007/s41324-016-0038-6,Han-sol JangDong-kyu KimJung-min KimIn-sung Jang,2016,http://link.springer.com/article/10.1007/s41324-016-0038-6,Article
From social data mining to forecasting socio-economic crises,The European Physical Journal Special Topics,,195,1,10.1140/epjst/e2011-01401-8,D. HelbingS. Balietti,2011,http://link.springer.com/article/10.1140/epjst/e2011-01401-8,Article
"Linked Open Piracy: A Story about e-Science, Linked Data, and Statistics",Journal on Data Semantics,,1,3,10.1007/s13740-012-0009-6,Willem Robert van HageMarieke van ErpV√©ronique Malais√©,2012,http://link.springer.com/article/10.1007/s13740-012-0009-6,Article
"Constructing a Site for Publishing Open Data of the Ministry of Economy, Trade, and Industry",New Generation Computing,,34,4,10.1007/s00354-016-0403-y,Yu AsanoSeiji KoideMakoto IwayamaFumihiro KatoIwao KobayashiTadashi MimaIkki OhmukaiHideaki Takeda,2016,http://link.springer.com/article/10.1007/s00354-016-0403-y,Article
Choquet integral for record linkage,Annals of Operations Research,,195,1,10.1007/s10479-011-0989-x,Daniel AbrilGuillermo Navarro-ArribasVicen√ß Torra,2012,http://link.springer.com/article/10.1007/s10479-011-0989-x,Article
Discovering meaning on the go in large heterogenous data,Artificial Intelligence Review,,40,2,10.1007/s10462-012-9377-4,Harry HalpinFiona McNeill,2013,http://link.springer.com/article/10.1007/s10462-012-9377-4,Article
Crowdsourcing chart digitizer: task design and quality control for making legacy open data machine-readable,International Journal of Data Science and Analytics,,2,1‘¬2»’,10.1007/s41060-016-0025-y,Satoshi OyamaYukino BabaIkki OhmukaiHiroaki DokoshiHisashi Kashima,2016,http://link.springer.com/article/10.1007/s41060-016-0025-y,Article
The Semantic Web: Collective Intelligence on the Web,Informatik-Spektrum,,34,5,10.1007/s00287-011-0535-x,Maciej JanikAnsgar ScherpSteffen Staab,2011,http://link.springer.com/article/10.1007/s00287-011-0535-x,Article
Cross-media analysis and reasoning: advances and directions,Frontiers of Information Technology & Electronic Engineering,,18,1,10.1631/FITEE.1601787,Yu-xin PengWen-wu ZhuYao ZhaoChang-sheng XuQing-ming HuangHan-qing LuQing-hua ZhengTie-jun HuangWen Gao,2017,http://link.springer.com/article/10.1631/FITEE.1601787,Article
Nudging: A Very Short Guide,Journal of Consumer Policy,,37,4,10.1007/s10603-014-9273-1,Cass R. Sunstein,2014,http://link.springer.com/article/10.1007/s10603-014-9273-1,Article
A distributed smart fusion framework based on hard and soft sensors,International Journal of Information Technology,,9,1,10.1007/s41870-017-0008-9,Girija ChettyMohammad Yamin,2017,http://link.springer.com/article/10.1007/s41870-017-0008-9,Article
Growing triples on trees: an XML-RDF hybrid model for annotated documents,The VLDB Journal,,22,5,10.1007/s00778-013-0321-2,Fran√ßois Goasdou√©Konstantinos KaranasosYannis KatsisJulien LeblayIoana ManolescuStamatis Zampetakis,2013,http://link.springer.com/article/10.1007/s00778-013-0321-2,Article
RDF in the clouds: a survey,The VLDB Journal,,24,1,10.1007/s00778-014-0364-z,Zoi KaoudiIoana Manolescu,2015,http://link.springer.com/article/10.1007/s00778-014-0364-z,Article
