,search_term,Link,Item,Type
0,esd.ny.gov/NYSDataCenter.htm,http://esd.ny.gov/NYSDataCenter.html,New York State Data Center,Other State Related
1,os.amsterdam.nl,http://www.os.amsterdam.nl/,Amsterdam O+S,International Regional
2,data.nantes.fr,http://data.nantes.fr/,Nantes,International Regional
3,opendata.go.tz,http://opendata.go.tz/,Tanzania,International Country
4,data.gov.au,http://data.gov.au/,Australia,International Country
5,dati.veneto.it,http://dati.veneto.it/,Veneto,International Regional
6,dati.comune.bologna.it,http://dati.comune.bologna.it/,Bologna,International Regional
7,halifaxopendata.ca,https://www.halifaxopendata.ca/,Halifax,International Regional
8,dpipwe.tas.gov.au/sif,http://www.dpipwe.tas.gov.au/sif,Tasmania Spatial Data Work,International Regional
9,openguelph.wpengine.com/open-data-guelph,,Guelph,International Regional
10,data.texas.gov,,Texas,US State
11,nycopendata,,New York City,US City or County
12,open.manchester.gov.uk,,Manchester,International Regional
13,data.wa.gov.au,,Western Australia,International Regional
14,opendatanyc.com,,New York City,US City or County
15,data.sutton.gov.uk,,Sutton,International Regional
16,opendata-saskatoon.cloudapp.net,,Saskatoon,International Regional
17,guelph.ca/opendata,,Guelph,International Regional
18,data.baltimorecity.gov,http://data.baltimorecity.gov/,Baltimore,US City or County
19,lexingtonky.gov,http://www.lexingtonky.gov/index.aspx?page=416,Lexington,US City or County
20,data.govt.nz,http://www.data.govt.nz/,New Zealand,International Country
21,data.ca.gov,http://data.ca.gov/,California,US State
22,openaid.se,http://openaid.se/,OpenAid.se,International Regional
23,data.denvergov.org,http://data.denvergov.org/,Denver,US City or County
24,data.austintexas.gov,http://data.austintexas.gov/,Austin,US City or County
25,data.linz.gv.at,http://data.linz.gv.at/,Linz,International Regional
26,comune.vicenza.it/uffici/dipgenpers/sistinf/sit/daticartografici,http://www.comune.vicenza.it/uffici/dipgenpers/sistinf/sit/daticartografici.php,Vicenza Geodata,International Regional
27,open.canada.ca,http://open.canada.ca/en,Canada,International Country
28,opendata.bigovernment.ru,http://opendata.bigovernment.ru/results/,Open Government,International Regional
29,openkent.org.uk,http://www.openkent.org.uk/,Open Kent,International Regional
30,zaragoza.es/ciudad/risp,http://www.zaragoza.es/ciudad/risp/,Zaragoza,International Regional
31,data.seattle.gov,http://data.seattle.gov/,Seattle,US City or County
32,dati.gov.it,http://www.dati.gov.it/,Italy,International Country
33,tampere.fi/avoindata,http://tampere.fi/avoindata,Tampere,International Regional
34,nd.gov/gis,http://www.nd.gov/gis/,North Dakota GIS Hub,US State
35,cartolleida.paeria.es/lleidaoberta,http://cartolleida.paeria.es/lleidaoberta/inici.aspx,Lleida,International Regional
36,opendoor.ky.gov,http://opendoor.ky.gov/transparency/Pages/default.aspx,Open Door Kentucky,US City or County
37,opendoor.ky.gov/transparency/Pages,http://opendoor.ky.gov/transparency/Pages/default.aspx,Open Door Kentucky,US City or County
38,data.virginia.gov, http://data.virginia.gov,Virginia,US State
39,opendata.cityofnewyork.us,https://opendata.cityofnewyork.us/,New Your City,US City or County
40,arvada.org/opendata,http://arvada.org/opendata/,Arvada,US City or County
41,daten.rlp.de,http://www.daten.rlp.de/,Rheinland Pfalz,International Regional
42,donnees.ville.montreal.qc.ca,http://donnees.ville.montreal.qc.ca/,Montreal,International Regional
43,rotterdamopendata,http://rotterdamopendata.nl,Rotterdam,International Regional
44,data.gouv.fr,http://data.gouv.fr/,France,International Country
45,niagarafalls.ca/services/open/data,http://www.niagarafalls.ca/services/open/data,Niagara Falls,International Regional
46,data.rennes-metropole.fr,http://www.data.rennes-metropole.fr/,Rennes,International Regional
47,data.jyvaskyla.fi,http://data.jyvaskyla.fi/,JyvŠskylŠ,International Regional
48,pub.stat.ee/px-web.2001/Dialog,http://pub.stat.ee/px-web.2001/Dialog/statfile1.asp,Estonia,International Country
49,raleighnc.gov/open,http://www.raleighnc.gov/open/,Raleigh,US City or County
50,surrey.ca/city-services,http://www.surrey.ca/city-services/658.aspx,Surrey,International Regional
51,cityofboston.gov/maps,http://www.cityofboston.gov/maps/,Boston Enterprise GIS,US City or County
52,data.cityofmadison.com,https://data.cityofmadison.com/,Madison,US City or County
53,daten.hamburg.de,http://daten.hamburg.de/,Hamburg,International Regional
54,data.smcgov.org,https://data.smcgov.org/,San Mateo County,US City or County
55,data.illinois.gov,http://data.illinois.gov/,Illinois,US State
56,data.montgomerycountymd.gov,https://data.montgomerycountymd.gov/,Montgomery County,US City or County
57,data.buenosaires.gob.ar,http://data.buenosaires.gob.ar/,"Buenos Aires, Argentina",International Regional
58,digitaliser.dk,http://digitaliser.dk/,Denmark,International Country
59,ncopenbook.gov/NCOpenBook,http://www.ncopenbook.gov/NCOpenBook/,NC OpenBook,US City or County
60,ncopenbook.gov/NCOpenBook,http://www.ncopenbook.gov/NCOpenBook/,Niederšsterreich,International Regional
61,ncopenbook.gov,http://www.ncopenbook.gov/NCOpenBook/,NC OpenBook,US City or County
62,ncopenbook.gov,http://www.ncopenbook.gov/NCOpenBook/,Niederšsterreich,International Regional
63,london.ca/d.aspx?s=/Open_Data/Data_Catalogue,http://www.london.ca/d.aspx?s=/Open_Data/Data_Catalogue.htm,London,International Regional
64,data.cookcountyil.gov,http://data.cookcountyil.gov/,Cook County,US City or County
65,dados.gov.br,http://dados.gov.br/,Brazil,International Country
66,data.angers.fr,http://data.angers.fr/,Angers,International Regional
67,nanaimo.ca/datafeed,http://www.nanaimo.ca/datafeeds,Nanaimo,International Regional
68,birmingham.gov.uk/open-data,http://www.birmingham.gov.uk/open-data,Birmingham,International Regional
69,data.go.jp,http://www.data.go.jp/,Japan,International Country
70,pamplona.es/verPagina,http://pamplona.es/verPagina.asp?IdPag=1519&Idioma=1,Pamplona,International Regional
71,data.gov.ph,http://data.gov.ph/,Philippines,International Country
72,wiki.state.ma.us/confluence/display/data/Open+Data+Initiative+Hom,https://wiki.state.ma.us/confluence/display/data/Open+Data+Initiative+Home,Massachusetts,US State
73,data.csiro.au,https://data.csiro.au/dap/home?execution=e1s1,CSIRO,International Regional
74,dati.toscana.it,http://dati.toscana.it/,Tuscany,International Regional
75,hri.fi/en/about/open-data,http://www.hri.fi/en/about/open-data/,Helsinki Region Infoshare,International Regional
76,data.bloomington.in.gov,https://data.bloomington.in.gov/,"Bloomington, Indiana",US City or County
77,data.fingal.ie,http://data.fingal.ie/,Fingal,International Regional
78,opendata71.fr,http://www.opendata71.fr/,Sa™ne-et-Loire,International Regional
79,data.gov/statedatasite,http://www.data.gov/statedatasites,Data.gov State Data Sites,International Regional
80,data.burlingtonvt.gov,https://data.burlingtonvt.gov/,Burlington,US City or County
81,colorado.gov/data,http://www.colorado.gov/data/,Colorado,US State
82,countygp.ab.ca/EN/main/community/maps-gis/open-data/data,http://www.countygp.ab.ca/EN/main/community/maps-gis/open-data/data.html,County of Grand Prairie No. 1,International Regional
83,opendata.provincia.roma.it,http://www.opendata.provincia.roma.it/,Rome (Province),International Regional
84,datos.gob.mx,http://datos.gob.mx/,Mexico,International Country
85,data.opencolorado.org/group/gilpin-count,http://data.opencolorado.org/group/gilpin-county,Gilpin County,US City or County
86,data.overheid.nl,http://data.overheid.nl/,Netherlands,International Country
87,dati.piemonte.it,http://www.dati.piemonte.it/,Piedmont,International Regional
88,openbooks.az.gov/app/transparency,http://openbooks.az.gov/app/transparency/index.html,Arizona,US State
89,data.maryland.gov,https://data.maryland.gov/,Maryland,US State
90,opendata.peelregion.ca,http://opendata.peelregion.ca/,Region of Peel,International Regional
91,a2gov.org/data,http://www.a2gov.org/data/,Ann Arbor,US City or County
92,cabq.gov/abq-data,http://www.cabq.gov/abq-data/,Albuquerque,US City or County
93,trafford.gov.uk/opendata,http://www.trafford.gov.uk/opendata/,Trafford Council,International Regional
94,geodata.gov.gr/geodata,http://geodata.gov.gr/geodata/,Greece,International Country
95,budget.gov.ru/data/opendata,http://budget.gov.ru/data/opendata,Russian Open Budget,International Regional
96,opendata.hauts-de-seine.net,http://opendata.hauts-de-seine.net/,Hauts-de-Seine,International Regional
97,floridahasarighttoknow.com,http://www.floridahasarighttoknow.com/,Florida,US State
98,data.mosman.nsw.gov.au,http://data.mosman.nsw.gov.au/,Mosman Council,International Regional
99,dati.comune.milano.it,http://dati.comune.milano.it/,Milan,International Regional
100,niagararegion.ca/government/opendata,http://www.niagararegion.ca/government/opendata/default.aspx,Niagara Region,International Regional
101,nysenate.gov/opendata,http://www.nysenate.gov/opendata/,NY State Senate,Other State Related
102,bahrain.bh/wps/portal/data,http://www.bahrain.bh/wps/portal/data/,Bahrain,International Country
103,cms.burlington.ca,http://cms.burlington.ca/Page7429.aspx,Burlington,International Regional
104,caib.es/caibdatafront,http://www.caib.es/caibdatafront/,Balearic Islands,International Regional
105,data.gov.be,http://data.gov.be/,Belgium,International Country
106,data.mos.ru,http://data.mos.ru/,Moscow,International Regional
107,planning.sa.gov.au,http://www.planning.sa.gov.au/index.cfm?objectid=1C5C4F6F-96B8-CC2B-67DE3073BF2AE0EC,South Australia Spatial Planning,International Regional
108,data.southbendin.gov,https://data.southbendin.gov/,South Bend,US City or County
109,data.hawaii.gov,http://data.hawaii.gov/,Hawaii,US State
110,data.gov.sk,http://data.gov.sk/,Slovak Republic,International Country
111,lichfielddc.gov.uk,http://lichfielddc.gov.uk/,Lichfield,International Regional
112,offenedaten.moers.de,http://www.offenedaten.moers.de/,Moers,International Regional
