,search_term,Item,Type,Link
0,dati.gov.it,Italy,International Country,http://www.dati.gov.it/
1,caib.es/caibdatafront,Balearic Islands,International Regional,http://www.caib.es/caibdatafront/
2,data.nantes.fr,Nantes,International Regional,http://data.nantes.fr/
3,opendata.go.tz,Tanzania,International Country,http://opendata.go.tz/
4,portalu.de/portal,Environmental Portal,International Regional,http://www.portalu.de/portal/default-page.psml
5,dati.veneto.it,Veneto,International Regional,http://dati.veneto.it/
6,dati.comune.bologna.it,Bologna,International Regional,http://dati.comune.bologna.it/
7,openguelph.wpengine.com/open-data-guelph,Guelph,International Regional,
8,cogp.opendata.arcgis.com,County of Grand Prairie No. 1,International Regional,
9,data.wa.gov.au,Western Australia,International Regional,
10,data.texas.gov,Texas,US State,
11,nycopendata,New York City,US City or County,
12,data.sutton.gov.uk,Sutton,International Regional,
13,opendata.countygp.ab.ca,County of Grand Prairie No. 1,International Regional,
14,opendata-saskatoon.cloudapp.net,Saskatoon,International Regional,
15,guelph.ca/opendata,Guelph,International Regional,
16,data.baltimorecity.gov,Baltimore,US City or County,http://data.baltimorecity.gov/
17,lexingtonky.gov,Lexington,US City or County,http://www.lexingtonky.gov/index.aspx?page=416
18,data.govt.nz,New Zealand,International Country,http://www.data.govt.nz/
19,comune.vicenza.it/uffici/dipgenpers/sistinf/sit,Vicenza Geodata,International Regional,http://www.comune.vicenza.it/uffici/dipgenpers/sistinf/sit/daticartografici.php
20,salford.gov.uk/opendata,Salford City Council,International Regional,http://www.salford.gov.uk/opendata.htm
21,data.illinois.gov/champaign,Champaign,US City or County,https://data.illinois.gov/champaign
22,openaid.se,OpenAid.se,International Regional,http://openaid.se/
23,data.denvergov.org,Denver,US City or County,http://data.denvergov.org/
24,data.austintexas.gov,Austin,US City or County,http://data.austintexas.gov/
25,data.linz.gv.at,Linz,International Regional,http://data.linz.gv.at/
26,colorado.gov/data,Colorado,US State,http://www.colorado.gov/data/
27,open.canada.ca,Canada,International Country,http://open.canada.ca/en
28,opendata.bigovernment.ru,Open Government,International Regional,http://opendata.bigovernment.ru/results/
29,openkent.org.uk,Open Kent,International Regional,http://www.openkent.org.uk/
30,territorio.provincia.tn.it/portal,Trento,International Regional,http://www.territorio.provincia.tn.it/portal/server.pt?open=512&objID=862&PageID=32157&mode=2&in_hi_userid=18720&cached=true
31,data.seattle.gov,Seattle,US City or County,http://data.seattle.gov/
32,data.gov.ma,Morocco,International Country,http://data.gov.ma/
33,zaragoza.es/ciudad/risp,Zaragoza,International Regional,http://www.zaragoza.es/ciudad/risp/
34,nd.gov/gis,North Dakota GIS Hub,US State,http://www.nd.gov/gis/
35,cartolleida.paeria.es/lleidaoberta,Lleida,International Regional,http://cartolleida.paeria.es/lleidaoberta/inici.aspx
36,data.illinois.gov/bellevill,Belleville,US City or County,https://data.illinois.gov/belleville
37,opendoor.ky.gov,Open Door Kentucky,US City or County,http://opendoor.ky.gov/transparency/Pages/default.aspx
38,opendoor.ky.gov/transparency,Open Door Kentucky,US City or County,http://opendoor.ky.gov/transparency/Pages/default.aspx
39,data.virginia.gov,Virginia,US State, http://data.virginia.gov
40,opendata.cityofnewyork.us,New Your City,US City or County,https://opendata.cityofnewyork.us/
41,arvada.org/opendata,Arvada,US City or County,http://arvada.org/opendata/
42,daten.rlp.de,Rheinland Pfalz,International Regional,http://www.daten.rlp.de/
43,data.opencolorado.org,Denver Regional Council,Other State Related,http://data.opencolorado.org/group/drcog
44,rotterdamopendata,Rotterdam,International Regional,http://rotterdamopendata.nl
45,data.gouv.fr,France,International Country,http://data.gouv.fr/
46,niagarafalls.ca/services/open/data,Niagara Falls,International Regional,http://www.niagarafalls.ca/services/open/data
47,data.rennes-metropole.fr,Rennes,International Regional,http://www.data.rennes-metropole.fr/
48,data.jyvaskyla.fi,JyvŠskylŠ,International Regional,http://data.jyvaskyla.fi/
49,raleighnc.gov/open,Raleigh,US City or County,http://www.raleighnc.gov/open/
50,surrey.ca/city-services,Surrey,International Regional,http://www.surrey.ca/city-services/658.aspx
51,cityofboston.gov/maps,Boston Enterprise GIS,US City or County,http://www.cityofboston.gov/maps/
52,data.cityofmadison.com,Madison,US City or County,https://data.cityofmadison.com/
53,daten.hamburg.de,Hamburg,International Regional,http://daten.hamburg.de/
54,data.illinois.gov/ssmm,Illinois South Suburban Mayors and Managers,Other State Related,https://data.illinois.gov/ssmma
55,data.brisbane.qld.gov.au/index.php/datasets,Brisbane,International Regional,http://data.brisbane.qld.gov.au/index.php/datasets/
56,data.illinois.gov,Illinois,US State,http://data.illinois.gov/
57,dados.gov.br,Brazil,International Country,http://dados.gov.br/
58,lemans.fr,Le Mans,International Regional,http://www.lemans.fr/page.do?t=2&uuid=16CB26C7-550EA533-5AE8381B-D7A64AF8
59,data.buenosaires.gob.ar,"Buenos Aires, Argentina",International Regional,http://data.buenosaires.gob.ar/
60,digitaliser.dk,Denmark,International Country,http://digitaliser.dk/
61,ncopenbook.gov/NCOpenBook,NC OpenBook,US City or County,http://www.ncopenbook.gov/NCOpenBook/
62,ncopenbook.gov/NCOpenBook,Niederšsterreich,International Regional,http://www.ncopenbook.gov/NCOpenBook/
63,ncopenbook.gov,NC OpenBook,US City or County,http://www.ncopenbook.gov/NCOpenBook/
64,ncopenbook.gov,Niederšsterreich,International Regional,http://www.ncopenbook.gov/NCOpenBook/
65,data.wellingtonfl.gov,Wellington,US City or County,https://data.wellingtonfl.gov/
66,london.ca/d.aspx?s=/Open_Data/Data_Catalogue,London,International Regional,http://www.london.ca/d.aspx?s=/Open_Data/Data_Catalogue.htm
67,data.burlingtonvt.gov,Burlington,US City or County,https://data.burlingtonvt.gov/
68,data.gov.bc.ca,British Columbia,International Regional,http://www.data.gov.bc.ca/
69,data.angers.fr,Angers,International Regional,http://data.angers.fr/
70,nanaimo.ca/datafeed,Nanaimo,International Regional,http://www.nanaimo.ca/datafeeds
71,birmingham.gov.uk/open-data,Birmingham,International Regional,http://www.birmingham.gov.uk/open-data
72,data.go.jp,Japan,International Country,http://www.data.go.jp/
73,pamplona.es/verPagina,Pamplona,International Regional,http://pamplona.es/verPagina.asp?IdPag=1519&Idioma=1
74,data.nsw.gov.au,New South Wales,International Regional,http://data.nsw.gov.au/
75,data.gov.ph,PhilippinesÊ,International Country,http://data.gov.ph/
76,govinfo.nlc.gov.cn,China,International Country,http://govinfo.nlc.gov.cn/
77,comune.torino.it/aperto,Turin,International Regional,http://www.comune.torino.it/aperto
78,hri.fi/en/about/open-data,Helsinki Region Infoshare,International Regional,http://www.hri.fi/en/about/open-data/
79,opendata71.fr,Sa™ne-et-Loire,International Regional,http://www.opendata71.fr/
80,datameti.go.jp,METI,International Regional,http://datameti.go.jp/
81,researchdata.ands.org.au,Research Data,International Regional,http://researchdata.ands.org.au/
82,zwgk.dl.gov.cn,Dailan,International Regional,http://zwgk.dl.gov.cn/default.jse
83,datos.gob.es,Spain,International Country,http://datos.gob.es/
84,tampere.fi/avoindata,Tampere,International Regional,http://tampere.fi/avoindata
85,pub.stat.ee,Estonia,International Country,http://pub.stat.ee/px-web.2001/Dialog/statfile1.asp
86,opendata.provincia.roma.it,Rome (Province),International Regional,http://www.opendata.provincia.roma.it/
87,datos.gob.mx,Mexico,International Country,http://datos.gob.mx/
88,donnees.ville.montreal.qc.ca,Montreal,International Regional,http://donnees.ville.montreal.qc.ca/
89,dati.piemonte.it,Piedmont,International Regional,http://www.dati.piemonte.it/
90,openbooks.az.gov/app/transparency,Arizona,US State,http://openbooks.az.gov/app/transparency/index.html
91,data.maryland.gov,Maryland,US State,https://data.maryland.gov/
92,opendata.peelregion.ca,Region of Peel,International Regional,http://opendata.peelregion.ca/
93,sardegnageoportale.it/index.htm,Sardinia,International Regional,http://www.sardegnageoportale.it/index.html
94,a2gov.org/data,Ann Arbor,US City or County,http://www.a2gov.org/data/
95,cabq.gov/abq-data,Albuquerque,US City or County,http://www.cabq.gov/abq-data/
96,trafford.gov.uk/opendata,Trafford Council,International Regional,http://www.trafford.gov.uk/opendata/
